text,label
"This movie was absolutely fantastic! I loved every minute of it.",1
"The customer service was terrible, would not recommend.",0
"Great experience shopping here, will definitely come back!",1
"The product arrived damaged and broken, very disappointed.",0
"Amazing performance by the entire cast, a must-watch!",1
"The food was cold and the service was slow.",0
"I'm really impressed with the quality of this product.",1
"Worst experience ever, complete waste of money.",0
"The hotel room was clean, spacious, and comfortable.",1
"They cancelled my appointment without any notice.",0
"This book is a masterpiece, couldn't put it down!",1
"The website is confusing and difficult to navigate.",0
"Excellent customer support, they resolved my issue quickly.",1
"The delivery was delayed and the item was missing parts.",0
"Beautiful location, friendly staff, perfect vacation spot!",1
"The software is full of bugs and crashes frequently.",0
"The new features make this app so much better to use.",1
"Poor quality materials, started falling apart after a week.",0
"The training session was informative and well-organized.",1
"Terrible parking situation, avoid this place if you can.",0
